
1,Apple : Apple rust leaf,
2,Apple : Apple scab leaf,
3,Bell Pepper : Bell pepper leaf spot,     
4,Blueberry : Blueberry leaf,     
5,Cherry : Cherry leaf,     
6,Corn : Corn gray leaf spot,     
7,Corn : Corn leaf blight,     
8,Corn : Corn rust leaf,     
9,Grape : Grape leaf black rot,     
10,Peach : Peach leaf,     
11,Potato : Potato leaf early blight,     
12,Potato : Potato leaf late blight,     
13,Raspberry : Raspberry leaf,     
14,Soybean : Soybean leaf,     
15,Squash : Squash powdery mildew leaf,     
16,Strawberry : Strawberry leaf,     
17,Tomato : Tomato early blight leaf,     
18,Tomato : Tomato leaf,     
19,Tomato : Tomato leaf bacterial spot,     
20,Tomato : Tomato leaf late blight,     
21,Tomato : Tomato leaf mosaic virus,     
22,Tomato : Tomato leaf yellow virus,     
23,Tomato : Tomato mold leaf,     
24,Tomato : Tomato septoria leaf spotSpot,     
